filepath,label,source_id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
c:\Users\subha\OneDrive\Desktop\ela\data\genuine\genuine_0000.jpg,0,0000,8.631075,9.912675,255.0,0.0030333987,6461.588,0.17041041,36.98727,19.191238,47.474472,6461.588,80.384,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\genuine\genuine_0001.jpg,0,0001,4.8057866,10.567439,255.0,0.006432807,2433.7534,0.03815,34.056133,12.831487,35.553528,2433.7534,49.333088,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\genuine\genuine_0002.jpg,0,0002,4.770819,10.509494,255.0,0.006386145,2406.0757,0.038095832,34.07814,13.240746,36.59431,2406.0757,49.051765,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\genuine\genuine_0003.jpg,0,0003,4.7869377,10.542203,255.0,0.006460161,2405.969,0.03742083,33.971954,13.290855,33.367218,2405.969,49.05068,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\genuine\genuine_0004.jpg,0,0004,4.8270907,10.583678,255.0,0.006416257,2423.9526,0.038895834,34.18996,14.666142,39.42246,2423.9526,49.233654,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\genuine\genuine_0005.jpg,0,0005,4.7740774,10.507893,255.0,0.0063041993,2400.5093,0.039141666,34.144295,13.371324,37.569157,2400.5093,48.99499,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\genuine\genuine_0006.jpg,0,0006,4.8390675,10.607317,255.0,0.006526246,2474.3313,0.038266666,34.190376,15.640691,37.995804,2474.3313,49.74265,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\genuine\genuine_0007.jpg,0,0007,15.132366,19.032627,255.0,0.0845124,1998.4274,0.042397916,28.508364,49.570568,45.608273,1998.4274,44.703773,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\genuine\genuine_0008.jpg,0,0008,18.27351,21.16636,255.0,0.047888346,1869.2874,0.15528125,29.723352,52.838974,33.79927,1869.2874,43.235256,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\genuine\genuine_0009.jpg,0,0009,15.7163315,18.9837,255.0,0.07618701,2155.4321,0.09373125,41.20806,29.18779,45.609356,2155.4321,46.426632,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\genuine\genuine_0010.jpg,0,0010,5.911707,14.33451,255.0,0.03898289,2597.638,0.048027083,33.653065,53.740112,35.711723,2597.638,50.96703,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\genuine\genuine_0011.jpg,0,0011,4.770112,10.512856,255.0,0.0063041993,2435.991,0.037975,34.0212,12.331548,34.79452,2435.991,49.35576,800.0,600.0,1.3333334
